delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,28,10,346,5,1761.048670799937,,1761.0330465999432,1761.048670799937,1762.0325588998385,1762.0325588998385,1762.048842499964,1762.685006899992,space,0.6428722999989986,None,1762.6853539999574,1763.4008778664904,1763.708315799944,1763.697656699922,1763.6976872000378,1763.708315799944,1763.708315799944,1763.708315799944,1765.889371199999,400,1,[2.18996679992415],[2.189974599983543],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,1000,exp,28,11,347,10,1765.903593099909,,1765.8901037999894,1765.903593099909,1766.9048899998888,1766.9048899998888,1766.9048899998888,1767.2232079999521,space,0.31482590013183653,None,1767.2235596999526,1767.639111866538,1767.947715899907,1767.9381909999065,1767.9382299999706,1767.947715899907,1767.947715899907,1767.947715899907,1770.3765593999997,600,1,[2.436712099937722],[2.4367191998753697],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,400,unexp,29,0,348,1,1770.3917559999973,,1770.3772759998683,1770.3917559999973,1771.376113699982,1771.376113699982,1771.3930971999653,1771.7281800999772,space,0.34301259997300804,None,1771.7285251999274,1772.1439917665596,1772.4576067999005,1772.447695599869,1772.447725399863,1772.4576067999005,1772.4576067999005,1772.4576067999005,1775.1490101998206,300,1,[2.699528899975121],[2.6995356001425534],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,1000,exp,29,1,349,11,1775.1637701999862,,1775.14960470004,1775.1637701999862,1776.1649825000204,1776.1649825000204,1776.1649825000204,1776.6170387999155,space,0.4486897001042962,None,1776.6174407999497,1777.3168930665745,1777.6273240998853,1777.6176915999968,1777.6177184998523,1777.6273240998853,1777.6273240998853,1777.6273240998853,1780.4379308000207,300,1,[2.818728200159967],[2.8187333999667317],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,1000,exp,29,2,350,5,1780.4531639998313,,1780.438575200038,1780.4531639998313,1781.4375507000368,1781.4375507000368,1781.454004399944,1781.9723389998544,space,0.5206516999751329,None,1781.9726924998686,1782.6720620666786,1782.977024300024,1782.9679531999864,1782.967975599924,1782.977024300024,1782.977024300024,1782.977024300024,1785.6097980998456,800,1,[2.64050029986538],[2.640505999792367],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,400,unexp,29,3,351,0,1785.6259051999077,,1785.6104341000319,1785.6259051999077,1786.6096775999758,1786.6096775999758,1786.626810599817,1786.9783125999384,space,0.36172659997828305,None,1786.9786594999023,1787.0934236664946,1787.4032462998293,1787.394570000004,1787.3945972998627,1787.4032462998293,1787.4032462998293,1787.4032462998293,1790.131593399914,800,1,[2.735685600200668],[2.735692100133747],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,29,4,352,3,1790.1470063999295,,1790.1321799999569,1790.1470063999295,1791.1313108999748,1791.1313108999748,1791.1481719999574,1791.533140799962,space,0.38973070005886257,None,1791.53357520001,1791.6485772666676,1791.956600900041,1791.9480063999072,1791.9480867998209,1791.956600900041,1791.956600900041,1791.956600900041,1794.1538627999835,200,1,[2.204375799978152],[2.2043820000253618],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,29,5,353,9,1794.1680109999143,,1794.154451899929,1794.1680109999143,1795.1691713999026,1795.1691713999026,1795.1691713999026,1795.971414099913,space,0.7889113000128418,None,1795.971914399881,1796.0870016664887,1796.3991145000327,1796.387770100031,1796.3878005000297,1796.3991145000327,1796.3991145000327,1796.3991145000327,1798.0582800998818,200,1,[1.6688975999131799],[1.6689043999649584],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,400,unexp,29,6,354,2,1798.0722930999473,,1798.0589274000376,1798.0722930999473,1799.0734359000344,1799.0734359000344,1799.0734359000344,1799.4752340000123,space,0.3922945000231266,None,1799.475674299989,1800.1747066665596,1800.4865580999758,1800.4778155998792,1800.477837599814,1800.4865580999758,1800.4865580999758,1800.4865580999758,1801.9112626998685,300,1,[1.4321628001052886],[1.432168799918145],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,1000,exp,29,7,355,7,1801.9268038000446,,1801.9118915,1801.9268038000446,1802.9108871000353,1802.9108871000353,1802.9277025999036,1803.6967157998588,space,0.7802712998818606,None,1803.6970687999856,1804.1124147666308,1804.4172859999817,1804.4075668998994,1804.4075912998524,1804.4172859999817,1804.4172859999817,1804.4172859999817,1806.1662498000078,200,1,[1.7573047000914812],[1.7573106000199914],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
